"","2000","2015"
"Afghanistan",46.7,52.3
"Albania",64.1,68.8
"Algeria",62.5,66.3
"Angola",39.3,45.9
"Antigua and Barbuda",65,67.2
"Argentina",65.4,67.6
"Armenia",64.2,66.9
"Australia",69.3,71.9
"Austria",69,72
"Azerbaijan",59.3,64.7
"Bahamas",63.8,66.6
"Bahrain",64.9,67
"Bangladesh",56.3,62.4
"Barbados",64.7,66.8
"Belarus",61.2,65.2
"Belgium",68,71.1
"Belize",60.5,62.2
"Benin",48.1,52.5
"Bhutan",52.9,61.2
"Bolivia (Plurinational State of)",55.7,62.5
"Bosnia and Herzegovina",65.1,68.6
"Botswana",41.9,56.9
"Brazil",61.9,65.5
"Brunei Darussalam",67.6,70.3
"Bulgaria",63.4,66.4
"Burkina Faso",43.4,52.6
"Burundi",43.6,52.2
"C̫te d'Ivoire",41.9,47
"Cabo Verde",61.1,64.2
"Cambodia",45.5,58.1
"Cameroon",44.7,50.3
"Canada",69.8,72.3
"Central African Republic",39.8,45.9
"Chad",40.9,46.1
"Chile",67.7,70.5
"China",64.6,68.5
"Colombia",62.4,65.2
"Comoros",52.1,55.9
"Congo",46.3,56.6
"Costa Rica",68.1,69.8
"Croatia",66.4,69.4
"Cuba",67.2,69.2
"Cyprus",69,71.3
"Czechia",65.8,69.4
"Democratic People's Republic of Korea",58.7,64
"Democratic Republic of the Congo",43.8,51.8
"Denmark",67.9,71.2
"Djibouti",50.3,55.8
"Dominican Republic",63.2,65.1
"Ecuador",63.9,67
"Egypt",59.9,62.2
"El Salvador",58.6,64.1
"Equatorial Guinea",46.1,51.3
"Eritrea",38.8,55.7
"Estonia",63.1,69
"Ethiopia",44.3,56.1
"Fiji",60.8,62.9
"Finland",67.9,71
"France",69.7,72.6
"Gabon",52.1,57.2
"Gambia",49,53.8
"Georgia",64.1,66.4
"Germany",68.7,71.3
"Ghana",50.2,55.3
"Greece",69.5,71.9
"Grenada",62.4,65
"Guatemala",57.2,62.2
"Guinea",45.7,51.7
"Guinea-Bissau",45.4,51.5
"Guyana",57.8,59
"Haiti",51.2,55.4
"Honduras",61.4,64.9
"Hungary",63.7,67.4
"Iceland",70.3,72.7
"India",54.2,59.6
"Indonesia",59.4,62.1
"Iran (Islamic Republic of)",61.8,66.5
"Iraq",60.7,60
"Ireland",67.4,71.5
"Israel",69.7,72.8
"Italy",70,72.8
"Jamaica",63.9,67
"Japan",72.7,74.9
"Jordan",62.9,65
"Kazakhstan",57.7,63.3
"Kenya",45.5,55.6
"Kiribati",56.8,58.7
"Kuwait",64,65.7
"Kyrgyzstan",59.7,63.9
"Lao People's Democratic Republic",51,57.9
"Latvia",63,67.1
"Lebanon",61.2,65.7
"Lesotho",43.1,46.6
"Liberia",43.9,52.7
"Libya",62.1,63.7
"Lithuania",63.9,66.1
"Luxembourg",68.5,71.8
"Madagascar",50.2,56.9
"Malawi",37.4,51.2
"Malaysia",64.2,66.5
"Maldives",61.7,69.5
"Mali",43.3,51.1
"Malta",68.2,71.7
"Mauritania",52,55.1
"Mauritius",63.8,66.8
"Mexico",65.6,67.4
"Micronesia (Federated States of)",60.2,62.5
"Mongolia",56.7,62.1
"Montenegro",64.9,67.9
"Morocco",60.1,65.1
"Mozambique",42.3,49.6
"Myanmar",54.7,59.1
"Namibia",50.2,57.5
"Nepal",55.1,61.2
"Netherlands",69.2,72.2
"New Zealand",69.1,71.6
"Nicaragua",54.6,63.8
"Niger",43.6,54.2
"Nigeria",41,47.7
"Norway",69.3,72
"Oman",63.2,66.6
"Pakistan",54.2,57.8
"Panama",66.4,68.1
"Papua New Guinea",52.7,56.4
"Paraguay",62.5,65.2
"Peru",59.9,65.7
"Philippines",58.8,61.1
"Poland",65.3,68.7
"Portugal",67.6,71.4
"Qatar",65.5,67.8
"Republic of Korea",68.1,73.2
"Republic of Moldova",60.4,64.9
"Romania",63,66.8
"Russian Federation",58.3,63.4
"Rwanda",40,56.6
"Saint Lucia",63,66.1
"Saint Vincent and the Grenadines",62.6,64.6
"Samoa",63.4,66.6
"Sao Tome and Principe",54.8,59
"Saudi Arabia",62.8,64.4
"Senegal",50.4,58.3
"Serbia",64.5,67.7
"Seychelles",64.4,65.5
"Sierra Leone",34.2,44.4
"Singapore",70,73.9
"Slovakia",64.9,68.1
"Slovenia",66.8,71.1
"Solomon Islands",59.1,62.1
"Somalia",43.8,47.8
"South Africa",50,54.4
"South Sudan",42.2,49.9
"Spain",69.2,72.4
"Sri Lanka",63.9,67
"Sudan",50.9,55.9
"Suriname",59.1,63.1
"Swaziland",42,50.9
"Sweden",69.7,72
"Switzerland",69.9,73.1
"Syrian Arab Republic",61.8,55.9
"Tajikistan",56.6,62.1
"Thailand",63.4,66.8
"The former Yugoslav republic of Macedonia",64.5,67.5
"Timor-Leste",52.2,61.1
"Togo",47.7,52.8
"Tonga",64.3,66
"Trinidad and Tobago",61.4,63.3
"Tunisia",64.4,66.7
"Turkey",61.6,66.2
"Turkmenistan",57.3,59.8
"Uganda",40,54
"Ukraine",60.6,64.1
"United Arab Emirates",65.4,68.3
"United Kingdom of Great Britain and Northern Ireland",68.6,71.4
"United Republic of Tanzania",43,54.2
"United States of America",67.2,69.1
"Uruguay",66.1,67.9
"Uzbekistan",60,62.4
"Vanuatu",61.9,64.6
"Venezuela (Bolivarian Republic of)",63.8,65.2
"Viet Nam",62.1,66.6
"Yemen",53,57.7
"Zambia",38.3,53.7
"Zimbabwe",39.2,52.1
